title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Memoria de chamamé / De cada pueblo un cantar Vol.10 (Coleccion);Trío de Copas;View 11 tracks;2023-06-13T00:00:00.000Z;Album · 2023;Like;Repost;https://soundcloud.com/triodecopas/sets/memoria-de-chamame-de-cada;
Oops!... I Did It Again (20th Year Anniversary Edition - 2nd Decade Celebration);Ariana Grande is Epic!;View 12 tracks;2020-03-16T18:40:03.000Z;Album · 2020;6;Repost;https://soundcloud.com/ariana-grande-is-epic/sets/oops-i-did-it-again-20th-year;
A Jam Camp Decade (10 Years Of Making It Loud);thisisjamcamp;none;2014-09-14T05:03:51.000Z;Album · 2012;1;Repost;https://soundcloud.com/thisisjamcamp/sets/a-jam-camp-decade-10-years-of-making-it-loud;
#BeingSutil10 - The Decade Collection - GOLD BOX;Sutil Records - Sutil Vox;none;2014-11-24T15:58:33.000Z;Compilation · 2014;10;2;https://soundcloud.com/sutilrecords-sutilvox/sets/beingsutil10-the-decade-collection-gold-box-album-samplers;
Decade of Viper (10 Years of Viper Recordings);Futurebound;View 32 tracks;2014-01-01T00:00:00.000Z;Album · 2014;2;Repost;https://soundcloud.com/futurebound-music/sets/decade-of-viper-10-years-of;
DECAYED DECADE (10 YEARS AGO...);Ambassador Billz;View 20 tracks;2013-03-21T03:43:09.000Z;Album;14;1;https://soundcloud.com/ambassador-billz/sets/decayed-decade-10-years-ago;
Dekada Band 40 Aniversario;Dekada Band;View 9 tracks;2023-10-11T00:00:00.000Z;Album · 2023;Like;Repost;https://soundcloud.com/dekadaband-music/sets/dekada-band-40-aniversario;
Decade of Viper (10 Years of Viper Recordings);Futurebound;View 29 tracks;2014-12-14T00:00:00.000Z;Album · 2014;2;Repost;https://soundcloud.com/futurebound-music/sets/decade-of-viper-10-years-of-1;
Songs of the Decade `50 - Pas Chera Asheq Nabasham;Akbar Golpaygani;View 8 tracks;2013-05-30T00:00:00.000Z;Album · 2013;1;Repost;https://soundcloud.com/akbargolpaygani/sets/songs-of-the-decade-50-pas;
LIVE DECADE 1990-1999 (50th Anniversary Remastered);Eikichi Yazawa;View 34 tracks;2000-03-29T00:00:00.000Z;Album · 2000;Like;Repost;https://soundcloud.com/eikichiyazawa/sets/live-decade-1990-1999-50th;
The 90s: Gee Wasn't That a Swell? (Decade);Dennis Brumm;none;2018-06-25T16:05:53.000Z;Album · 1999;Like;Repost;https://soundcloud.com/dwbrumm/sets/90s-swell-decade;
